Codigo municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48021;Busturia;172,73;170,76;139,39;69,05;34,85;34,15;33,76;33,90;35,74;33,23;32,67;34,52;33,94;34,31;32,56;33,08;32,71;63,59
01017;Campezo/Kanpezu;1.477,56;1.461,81;1.497,73;1.419,42;1.394,00;652,34;662,87;663,50;658,51;646,90;618,79;620,57;591,40;587,71;330,31;333,61;172,36;110,94
20029;Deba;441,28;428,07;244,80;191,27;149,13;138,31;138,26;138,57;138,53;139,26;139,83;96,42;96,62;91,66;92,16;92,11;35,68;37,81
48901;Derio;950,08;955,14;661,92;708,17;650,96;658,69;665,46;639,32;650,98;659,10;670,70;653,99;672,73;306,03;76,90;69,47;50,91;41,04
48026;Dima;295,93;243,84;90,11;79,28;79,66;79,06;78,73;78,14;77,08;80,51;81,25;80,94;81,18;84,23;40,80;42,04;40,64;34,57
20069;Donostia / San Sebasti�n;135,83;132,45;105,14;93,83;90,97;90,08;90,29;90,48;90,41;86,32;82,74;81,10;80,37;71,12;10,90;10,57;8,99;7,83
48027;Durango;47,77;46,79;13,55;13,64;13,79;13,86;13,96;13,91;14,08;13,99;14,01;14,17;14,34;14,32;10,15;9,93;9,90;9,56
48028;Ea;1.487,18;1.501,18;49,82;23,92;23,58;23,47;23,67;23,53;23,53;12,78;12,78;11,39;11,26;11,22;11,86;12,05;12,34;0,00
20030;Eibar;126,49;126,23;74,72;73,96;74,58;74,88;74,89;72,61;72,42;72,21;28,12;28,21;27,58;27,57;25,31;20,90;19,16;13,98
48031;Elantxobe;79,10;79,77;80,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01021;Elburgo/Burgelu;525,84;532,31;428,13;361,07;304,63;41,20;40,62;40,82;47,47;40,31;23,26;30,82;31,15;33,56;28,57;29,67;29,79;1,98
01022;Elciego;4.406,71;4.411,07;3.232,72;190,34;189,79;186,02;186,73;191,26;181,82;182,07;184,98;187,09;186,39;185,87;183,60;186,73;191,82;125,89
20031;Elduain;316,02;114,75;116,67;32,92;32,00;32,92;32,92;32,92;40,82;33,33;33,33;43,10;42,92;42,37;32,05;32,05;33,33;0,00
20033;Elgeta;1.364,05;1.357,86;276,54;274,09;272,17;271,93;271,93;282,07;281,31;280,29;276,05;281,56;285,71;293,01;245,23;140,86;124,61;0,00
20032;Elgoibar;314,67;315,25;106,73;95,23;44,20;44,30;44,55;40,68;40,98;41,03;40,94;41,49;41,75;41,87;46,71;42,06;31,70;14,80
48032;Elorrio;300,87;294,33;124,46;124,87;108,59;109,22;109,53;105,17;105,47;105,44;102,49;63,09;62,02;62,07;62,40;62,96;63,49;64,35
01023;Elvillar/Bilar;1.446,48;1.403,56;1.371,01;1.343,75;1.332,39;1.285,33;1.288,83;1.359,20;1.358,38;1.387,10;673,41;0,00;0,00;0,00;7,14;7,39;7,39;5,38
48902;Erandio;109,27;83,95;44,86;38,64;14,20;13,62;13,68;13,76;13,78;13,68;13,58;13,67;13,68;13,64;9,06;9,14;9,16;4,51
